"agno";"rbd";"nom_rbd";"mrun";"doc_genero";"doc_fec_nac";"cod_sec";"cod_espe";"cod_ense";"cod_grado"
2019;8485;"LICEO INSTITUTO NACIONAL";7460803;2;196407;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20492624;2;198204;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";15913869;1;198009;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1018987;1;199010;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";19333192;1;195909;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6428237;1;197301;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20340903;2;197710;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1236742;2;194902;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";23230080;2;196608;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6428237;1;197301;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14138162;1;199110;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";16772241;2;196007;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6502184;1;197401;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";9836873;2;198012;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";10622995;1;198606;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6153762;2;196804;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";17119663;2;197103;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";9753589;2;196503;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14138162;1;199110;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";24076474;2;197904;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7142469;1;197004;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13486517;2;198606;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14544574;1;196408;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6153762;2;196804;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";17119663;2;197103;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14544574;1;196408;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";2590201;1;195812;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";24303017;2;196711;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";17853071;1;195502;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8987700;2;196503;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7460803;2;196407;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1236742;2;194902;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";24346046;1;198901;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7460803;2;196407;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";10186340;2;197702;0;0;310;1
